epoch,stage,stage_epoch,lambda_xai,train_loss,epoch_sec,selection_score,train_ord,train_hier,train_bnd,train_con,train_les,train_pa,train_cbf,train_xai,train_aux_les,train_aux_xai,train_dqk,val_accuracy,val_balanced_accuracy,val_sensitivity_macro,val_specificity_macro,val_precision_macro,val_npv_macro,val_f1_macro,val_auroc_macro_ovr,val_auprc_macro,val_auc_referable_dr,val_auc_sight_threatening,val_quadratic_weighted_kappa,val_mae_grade,val_adjacent_accuracy,val_recall_grade_0,val_recall_grade_1,val_recall_grade_2,val_recall_grade_3,val_recall_grade_4,val_screen_cleared,val_screen_npv,val_screen_auc,val_screen_threshold,val_screen_missed,val_screen_constraint_met,val_screen_score,mine_mean_hardness,mine_p90_hardness,mine_boundary_rate,mine_lowconf_rate,mine_hardness_grade_0,mine_hardness_grade_1,mine_hardness_grade_2,mine_hardness_grade_3,mine_hardness_grade_4,learned_loss_weights.ord,learned_loss_weights.hier,learned_loss_weights.bnd,learned_loss_weights.con,learned_loss_weights.les,learned_loss_weights.pa,learned_loss_weights.cbf,learned_loss_weights.dqk
1,s1_frozen,1,0.05,83.89888629404703,4541.7,0.3002776618714432,0.4693822503040234,0.596872832879424,1.090123857215047,1.5252836862405141,78.78599192555745,0.24335225966138144,0.6978307392075658,0.9211731823682785,0.8042574818929037,0.19621832732359568,0.8123839238981406,0.666,0.27807669860245127,0.27807669860245127,0.8365281751201611,0.31884212587435146,0.8398582335003605,0.2919926984590532,0.7109724750000246,0.3170357573047644,0.7260245181784608,0.8877095719200983,0.35049533349513484,0.5273333333333333,0.818,0.8289007092198581,0.0594059405940594,0.22429906542056074,0.2777777777777778,0.0,0.9106666666666666,0.9853587115666179,0.8877095719200983,0.2374693602323532,20,True,1.1325940596466912,0.9918304085731506,1.0,0.03005480207502842,0.04117797315120697,0.9494980573654175,0.9355401992797852,1.0543596744537354,1.2825415134429932,1.9059803485870361,1.0168421268463135,1.018204689025879,0.9975544810295105,0.9865444898605347,0.9863395690917969,1.0173635482788086,1.0176173448562622,1.0177031755447388
2,s1_frozen,2,0.05,48.42526982116699,4127.7,0.3358841407759876,0.4433980663965146,0.5075132559438547,0.9783857986877362,1.433487854917844,44.654161226908364,0.011514382954376439,0.6506694226364295,0.9213883638779322,0.9182687594095866,0.19608045399188995,0.697369688351949,0.6073333333333333,0.32134999917342527,0.32134999917342527,0.8484378354309493,0.2740208114700501,0.8370613936114013,0.2865313015805995,0.734402181418077,0.27791240888099444,0.7777600965594685,0.9161833898676004,0.420519916554868,0.6493333333333333,0.78,0.726063829787234,0.0594059405940594,0.3411214953271028,0.19444444444444445,0.2857142857142857,0.9413333333333334,0.9851274787535411,0.9161833898676004,0.5988480448722839,21,True,1.1703791808002335,0.9735913276672363,1.0,0.05023462325334549,0.06095888838171959,0.9148073792457581,0.9064955115318298,1.1115177869796753,1.301544427871704,1.912418007850647,1.038512945175171,1.0408649444580078,0.9997480511665344,0.9707891941070557,0.9714579582214355,1.0398117303848267,1.0382664203643799,1.0409996509552002
3,s1_frozen,3,0.05,33.64628246307373,4534.8,0.33918221701594975,0.4227815055002769,0.48384053669373195,0.9056784513617555,1.416982772787412,30.219147069295246,0.00644303451385349,0.6091573896706104,0.9214468136231104,0.9297707489331564,0.1967235987583796,0.6583930812080702,0.634,0.31108124113834557,0.31108124113834557,0.8547971539045734,0.2740943654031536,0.8448488595337459,0.28419407165369737,0.7400760565631985,0.303208850549718,0.7935320768992884,0.9164508638192849,0.4408015979268495,0.608,0.7953333333333333,0.7668439716312057,0.06930693069306931,0.32242990654205606,0.1111111111111111,0.2857142857142857,0.9393333333333334,0.9850958126330731,0.9164508638192849,0.5897414088249207,21,True,1.1684460492881545,0.9529032707214355,1.1454837322235107,0.06254757940769196,0.07386809587478638,0.878940999507904,0.9033416509628296,1.1593053340911865,1.2892391681671143,1.8600587844848633,1.0542652606964111,1.056835651397705,1.0060476064682007,0.9599912166595459,0.9620475769042969,1.0557016134262085,1.0539909601211548,1.057087779045105
